City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bubaque,11.2833,-15.8333,27.24,77,100,6.84,GW,1720059180
1,mirnyy,62.5353,113.9611,17.88,42,95,3.18,RU,1720059182
2,san juan,-31.5375,-68.5364,9.82,34,21,2.47,AR,1720059183
3,puerto ayora,-0.7393,-90.3518,21.42,96,57,2.97,EC,1720059185
4,saipan,15.1355,145.701,32.39,66,40,6.69,MP,1720059186
5,waitangi,-43.9535,-176.5597,8.79,90,100,1.34,NZ,1720059188
6,papatowai,-46.5619,169.4708,8.14,82,86,3.95,NZ,1720059190
7,port-aux-francais,-49.35,70.2167,0.73,60,31,5.39,TF,1720059191
8,hermanus,-34.4187,19.2345,13.22,81,25,6.08,ZA,1720059193
9,west island,-12.1568,96.8225,27.99,89,20,8.23,CC,1720059195
10,bardai,11.65,7.2333,22.69,85,22,5.7,NG,1720059196
11,laiyang,36.9758,120.7136,20.67,95,100,3.51,CN,1720059199
12,blackmans bay,-43.0167,147.3167,8.18,77,9,1.79,AU,1720059200
13,atafu village,-8.5421,-172.5159,28.72,78,92,9.94,TK,1720059202
14,newnham,-41.3833,147.1333,7.04,81,0,4.12,AU,1720059203
15,bagepalli,13.7847,77.7931,23.84,72,100,6.97,IN,1720059088
16,tayu,-6.5397,111.0518,27.02,77,99,3.92,ID,1720059031
17,prince rupert,54.3161,-130.3201,14.05,81,0,7.2,CA,1720059208
18,yellowknife,62.456,-114.3525,16.29,81,75,5.66,CA,1720059209
19,kosong,38.3788,128.4676,26.61,70,77,1.95,KR,1720058971
20,tazovsky,67.4667,78.7,13.12,73,100,3.48,RU,1720059212
21,grytviken,-54.2811,-36.5092,-5.01,70,5,0.44,GS,1720059025
22,puerto natales,-51.7236,-72.4875,2.07,76,61,6.95,CL,1720059217
23,tumkur,13.3422,77.1017,22.44,79,100,5.92,IN,1720059219
24,constantia,44.1833,28.65,17.61,88,39,4.14,RO,1720059222
25,kuusamo,65.9667,29.1833,12.02,94,0,0.51,FI,1720059223
26,chonchi,-42.6128,-73.8092,2.29,80,99,2.81,CL,1720059225
27,margaret river,-33.95,115.0667,13.43,68,0,4.47,AU,1720059226
28,selfoss,63.9331,-20.9971,9.47,87,100,3.05,IS,1720059228
29,darwin,-12.4611,130.8418,25.53,35,0,6.17,AU,1720058984
30,utrik,11.2278,169.8474,28.04,81,48,6.85,MH,1720059231
31,jamestown,42.097,-79.2353,24.77,95,40,3.09,US,1720059232
32,yuzhno-kurilsk,44.0306,145.8556,18.04,71,23,2.39,RU,1720059234
33,edinburgh of the seven seas,-37.0676,-12.3116,13.86,76,42,11.75,SH,1720059235
34,avarua,-21.2078,-159.775,26.03,73,40,8.75,CK,1720059237
35,kruisfontein,-34.0033,24.7314,12.71,70,96,10.08,ZA,1720059176
36,polyarnyy,69.1989,33.4478,7.0,89,100,6.0,RU,1720059240
37,tiksi,71.6872,128.8694,4.25,82,82,3.96,RU,1720059242
38,kashgar,39.4547,75.9797,27.31,28,99,2.51,CN,1720059243
39,severo-yeniseyskiy,60.3725,93.0408,21.19,56,100,1.98,RU,1720059245
40,jingdezhen,29.2947,117.2079,32.4,61,2,4.25,CN,1720059247
41,mandera,3.9366,41.867,24.27,61,16,6.76,KE,1720059064
42,longyearbyen,78.2186,15.6401,9.91,66,40,1.54,SJ,1720059250
43,monticello,45.3055,-93.7941,25.07,56,0,0.0,US,1720058677
44,fort bragg,35.139,-79.006,27.73,70,93,2.24,US,1720059050
45,mount pearl,47.5166,-52.7813,12.4,96,20,2.57,CA,1720059254
46,adamstown,-25.066,-130.1015,20.9,58,100,1.55,PN,1720059256
47,hamilton,39.1834,-84.5333,25.02,95,100,3.09,US,1720059257
48,alice springs,-23.7,133.8833,8.75,61,20,6.69,AU,1720059259
49,iqaluit,63.7506,-68.5145,3.85,86,100,4.12,CA,1720059058
50,lincoln,40.8,-96.667,25.07,72,0,3.09,US,1720059264
51,shiqi,22.5168,113.3852,33.28,58,60,3.29,CN,1720059266
52,albany,42.6001,-73.9662,23.36,61,98,0.45,US,1720059267
53,anadyr,64.75,177.4833,14.28,72,20,6.0,RU,1720059269
54,ekibastuz,51.6667,75.3667,17.35,82,100,6.22,KZ,1720059271
55,bilibino,68.0546,166.4372,20.05,43,98,1.68,RU,1720059272
56,stanley,54.868,-1.6985,9.18,78,0,10.29,GB,1720059274
57,lae,-6.7221,146.9847,26.82,80,100,0.82,PG,1720059275
58,puerto rosario,-24.45,-57.0833,20.79,39,2,1.41,PY,1720059277
59,bethel,41.3712,-73.414,21.06,71,0,0.45,US,1720059278
60,ribeira grande,38.5167,-28.7,19.87,85,14,2.24,PT,1720059280
61,port elizabeth,-33.918,25.5701,14.16,67,0,8.75,ZA,1720059179
62,invercargill,-46.4,168.35,8.9,87,96,1.34,NZ,1720059285
63,nizhnevartovsk,60.9344,76.5531,19.01,55,0,2.0,RU,1720059286
64,udachny,66.4167,112.4,15.5,37,3,7.05,RU,1720059288
65,quatre cocos,-20.2078,57.7625,19.49,74,91,8.31,MU,1720059289
66,tolanaro,-25.0319,46.9987,20.04,77,20,6.17,MG,1720059290
67,kuanda,56.3161,116.0806,28.53,51,75,0.89,RU,1720059292
68,pontianak,-0.0333,109.3333,27.99,94,20,1.03,ID,1720058884
69,chibougamau,49.9168,-74.3659,16.79,94,40,2.57,CA,1720059295
70,ancud,-41.8697,-73.8203,4.62,76,100,5.71,CL,1720059297
71,cariati,39.4922,16.9594,21.29,72,65,4.31,IT,1720059299
72,jishu,44.3167,126.8,16.58,97,100,4.78,CN,1720059300
73,adilcevaz,38.8039,42.7342,17.94,54,0,0.99,TR,1720059302
74,thompson,55.7435,-97.8558,16.09,72,40,3.09,CA,1720059305
75,arkhangel'sk,64.5401,40.5433,14.06,100,100,7.0,RU,1720059308
76,aasiaat,68.7098,-52.8699,1.55,89,6,4.15,GL,1720059310
